,purpose,amount
4400,management fee,5500.0
3519,golf scramble,5497.13
2207,design services,5490.0
1941,consulting & exp reimb-see addendum,5483.0
4549,media ad,5473.26
525,advisory and fund raising services,5450.0
5408,political director,5446.629999999999
1733,christmas cards,5435.37
398,advertisements,5423.37
7997,web site,5409.08
4167,lit drop piece,5405.9
8009,web site maintenance/digital marketing,5400.0
7841,vip dinner,5400.0
820,billboard ads,5400.0
6360,reimbursement,5392.8099999999995
4832,newspaper adv,5385.700000000001
105,2nd campaign mailer,5360.0
3518,golf prizes ,5351.45
2700,entertainment,5344.02
5636,print advertisement ,5340.0
5637,print advertisement placement,5340.0
2337,direct mail & social media ads,5325.11
938,business cards,5320.489999999999
2753,event cost,5300.35
4355,mailersand digital,5296.72
3351,fundraising & reim. expenses,5287.48
3676,headquarters rent,5270.32
2557,dues,5268.2
3036,finance director salary,5266.67
5770,printing campaign literature,5266.5199999999995
5269,phone and internet,5261.32
2304,digitial sign,5252.0
3875,inv 2578 primary survey,5250.0
7315,support hrcc,5250.0
6204,reim. exp - see for cd-8,5245.82
2956,federal payroll tax,5239.07
2267,digital communications,5233.0
1019,campaign adv.,5227.7
7702,tv advertisement,5215.0
5802,printing mailing,5211.6
826,billboard design & rental,5205.0
8174,yard signs ,5203.32
7465,television buy,5190.0
1754,cic service/office space,5183.9
2302,"digital, mailing, invites, literature, website",5179.63
302,ad listing endorsements,5178.0
7675,trump memorabilia,5165.54
7109,sporting clay and ammunition,5163.88
2869,facebook ad placement and display ads creative,5162.0
3465,get out the vote door hangers,5159.3
1083,campaign communications,5150.0
1843,communications management and mailchimp,5149.98
4190,literature printing,5139.75
6922,signs for resale,5129.08
632,auction meeting supplies,5119.73
1815,commercials,5115.46
8000,web site design,5109.04
2562,dues & subscriptions for data,5100.0
4296,mail piece / printing,5083.15
7438,tee shirts,5068.46
2561,dues & subscriptions,5060.0
2473,donation processing fees,5058.76
1782,closeout / donation,5055.52
6637,road and yard signs,5054.95
4849,newspaper insert,5051.88
2582,eddm printing and mailing,5007.97
7887,voter data,5003.06
7251,streaming ads,5000.02
2026,coordianted campaign,5000.0
6582,research ,5000.0
2953,february retainer,5000.0
2286,digital mobile ads,5000.0
4680,mighty missouri pac,5000.0
3000,field work,5000.0
4402,management/consulting,5000.0
3360,fundraising and strategic messaging,5000.0
3925,july consulting,5000.0
6609,retainer payment for future voter contact efforts,5000.0
5435,political strategic communication ,5000.0
5352,"planning, strategic advising, and message content",5000.0
1984,contract work,5000.0
2396,district office lease,5000.0
4937,office space,5000.0
7898,voter engagement ,5000.0
1680,charitable donaiton,5000.0
3912,january retianer,5000.0
3263,franklin county leadership pac - poliltical action,5000.0
4718,missouri forward pac,5000.0
7238,strategic campaign communication/ pol consultants ,5000.0
4719,missouri forward pac - political action committee,5000.0
1873,compliance and data management,5000.0
3942,june consulting,5000.0
3262,franklin county leadership pac,5000.0
2179,deposit for november fundraiser,5000.0
424,advertising - reported in-kind to candidates,5000.0
1242,"campaign management, strategy, & communications",5000.0
1761,civic contribution,5000.0
4418,march retainer,5000.0
6184,refund of payroll mis-deposit on 10/4/2019,5000.0
6999,social media advertisements,5000.0
4199,livestock auction,4990.0
2671,email program,4984.159999999998
7969,web design,4983.0
4731,mobile advertising,4977.85
3980,kyle gardner salary- exec. director,4975.0
1467,campaign video,4940.0
3361,fundraising assistance,4934.0
2289,digital productio,4920.0
3110,flyers/leaflets/postcards,4912.98
7021,social media services ,4900.0
901,broadcast tv ads,4900.0
6834,sign material,4896.160000000001
4343,mailers & robo calls,4889.0
5412,political gifts,4876.75
6675,salary exec. director - kyle gardner,4875.0
5519,postage fees,4849.610000000001
7418,tax return preparation fees,4836.6
1086,campaign computer/ipad,4822.2
3933,jumbo mailers and mailing services,4821.15
3775,hqs office rent,4800.0
6889,signs & banners,4787.19
3842,internet advertising,4785.0
7436,technology support,4775.88
5932,promotional material,4770.01
6178,refund of contributions,4769.43
5106,palmcards,4763.05
5039,outreach services,4762.5
5217,payroll reimbursement,4750.0
3874,inv 2545 jackson county dem primary survey,4750.0
5028,other disbursements (fundraising),4747.82
1035,"campaign and field man., voter contact program",4742.0
5946,promotions,4738.0
3877,inv1191-production of & display ads fb erin abbott,4735.0
2711,envelopes,4731.43
1263,"campaign materials (signs, brochures, direct mail)",4715.73
1832,communications and digital consulting,4712.49
8055,website design ,4711.450000000001
2067,credit card - itemized,4708.7
6149,reception,4698.240000000001
2368,direct mailer/push cards,4674.6
6761,service/billboards,4660.0
3499,golf classic ,4620.0
6909,signs and printing,4610.19
3407,fundraising software,4600.0
1899,computer programming,4600.0
5573,postcard/postages,4594.31
1191,campaign lit,4575.34
5945,promotional-signs,4571.05
4004,large campaign signs,4567.95
3628,hall rental,4560.59
4878,november expense & retainer,4550.99
5685,printed material/postage,4545.81
2225,dialer ,4517.76
5210,payroll federal and state taxes,4517.71
4115,lincoln day,4508.94
7917,voter registration program,4500.0
8044,website and video,4500.0
2837,events planning,4500.0
1966,consulting/accounting ,4500.0
1847,communications support retainer,4500.0
1838,communications consulting services ,4500.0
211,accounting and consulting ,4500.0
728,banner,4462.459999999999
2427,donation ,4430.85
4072,legislative mgmt & reim exp,4424.84
8072,website hosting,4422.889999999999
2300,digital voter outreach,4399.36
5626,print,4396.2
5181,payment,4390.0
2339,direct mail assistance,4384.24
5817,printing order,4335.69
1590,"cards, letters & mail services",4323.1900000000005
3401,fundraising retainer-commission,4300.0
5755,printing and literature drops,4300.0
4283,mail and push card,4295.0
6580,reseaarch,4276.9
4194,literature/mailers,4253.24
2291,digital production and digital advertising,4250.0
4665,messaging expense,4250.0
1396,campaign signs/push cards,4250.0
1846,communications services retainer,4250.0
1477,campaign watch party  catering ,4244.46
3111,flyersn for election,4232.89
3227,"food, computer, supplies, gas",4232.75
4056,legal research and campaign relationship managemen,4225.0
1163,campaign giveaways,4224.66
7980,web hosting,4223.26
6150,reception food,4220.56
7001,social media and communications consulting,4208.71
1622,catering of fundraiser,4200.0
4059,legal services ,4200.0
2698,endorsements pub costs,4199.74
6824,sign delivery,4199.74
6455,reimbursement of political items,4181.07
1069,campaign cards,4176.820000000001
708,bank fee,4176.620000000001
926,bumper stickers,4176.1
2332,dinner/banquet,4175.0
4295,mail piece ,4170.0
6321,reimburse phone bank - change stl,4160.0
3366,fundraising consultant,4155.51
1964,consulting/ digital,4155.0
7625,travel reimbursement - mileage,4144.52
584,annual pac subscription,4125.0
6976,sms - june,4123.69
6649,robocalls & texting,4090.44
5776,printing endorsement ad,4086.69
1840,communications director/consulant,4074.99
3654,handouts,4065.95
2500,donations,4057.5
1231,campaign management & fundraising,4050.0
1235,campaign management and fundraising,4050.0
2464,donation item,4040.49
3757,housing & literature,4040.0
5100,palm cards printing,4035.88
3161,food for event,4030.61
516,advertizement,4019.41
6932,"signs, car magnets, stakes",4017.52
3494,golf,4004.8
7945,watch party,4001.8700000000003
3365,fundraising commission - consulting ,4000.0
3919,july & aug bookkeeping,4000.0
5462,polling expense,4000.0
1227,campaign manaement,4000.0
3904,jan & feb bookkeeping,4000.0
1866,compliance ,4000.0
4863,nonprofit donation,4000.0
3039,finance work,4000.0
3041,financial consulting,4000.0
4172,lit mailer,3977.86
2340,direct mail bio,3966.0
58,"2# billboard wraps, cforh signs, & vehicle magnets",3955.0
5542,postage stamps,3953.2500000000005
1750,christmas party,3947.33
2006,contribution processing fees - q4,3947.1
2767,event food,3941.8300000000004
5064,pac golf prizes,3940.7
7711,tv commercial,3927.0
1131,campaign event venue,3924.0
6931,"signs, banners",3922.2500000000005
5301,phonebanking and texting,3900.0
6817,sign,3874.95
1298,campaign oversight,3871.0
1343,campaign rental car,3866.86
3708,holiday cards,3859.86
4424,marketing / ads,3859.73
1973,consulting/web hosting,3855.0
1951,consulting fee,3850.0
6644,"robo calling, text messaging service",3844.8
5297,phone/internet,3832.99
1328,campaign printing,3824.6099999999997
6866,sign supplies,3824.0999999999995
780,benefit dinner table purchase,3819.95
5565,postcard mailers,3818.3999999999996
7364,t-shirt printing,3804.03
4814,newsletter printing,3800.59
1034,campaign advisor,3800.0
130,4' x4' large yard signs,3800.0
5683,"printed material, consulting, door to door service",3800.0
1981,contract fundraiser,3800.0
104,2nd and 3rd mailer,3796.98
4146,lincoln days expense,3791.96
1112,campaign door hangers,3784.71
1003,campaign - billboards,3765.0
6309,"reimburse for signs, shirts and pushcards",3763.29
5116,paper ads,3753.5400000000004
880,branding package,3750.0
4520,meals for lincoln day 2020,3748.97
3093,flyer/mailer,3738.24
2362,"direct mail, design production: covid 19 relief",3735.27
4579,meet and greet,3721.7900000000004
1692,charity event,3720.0
5034,outdoor signs,3714.05
5234,payroll taxes: federal 941,3710.77
4358,mailing ,3703.37
4798,news paper ads,3702.0
6739,senate retirement pins,3699.55
4431,marketing fee,3694.0
4389,mailings/advertising,3682.25
3348,fundraising & media,3669.0
8051,website costs,3668.0
1894,computer equipment,3662.99
4454,masks,3648.55
1945,consulting & expense reimb.-see addendum,3644.0
388,advertisement in paper,3637.0
1391,"campaign signs, mailers and envelopes",3632.21
5092,palm card,3613.4700000000003
3010,filing fee,3610.0
7522,the ink spot/printing,3608.72
814,bill board,3600.0
7490,texting campaign ,3600.0
8001,web site design/maintenance,3600.0
5008,operational & strategic retainer,3600.0
4745,monthly retainers,3600.0
3311,fundraiser catering,3598.58
3402,fundraising retainer/expenses,3586.73
3480,gifts for board of aldermen staff directors,3580.35
5426,political sign,3550.0
6845,sign posts,3538.8199999999997
2437,donation - gift certs for first responders,3537.01
4796,news paper ad,3535.24
5149,parade supplies,3528.8700000000003
6713,script drafting & calls,3527.72
469,advertising materials,3523.4800000000005
7448,telephone expense,3519.4799999999996
1045,campaign banner,3517.23
5922,promotional apparal,3504.0
7003,social media and phone calls,3500.0
7006,social media communications,3500.0
1024,campaign advertising ,3500.0
1241,"campaign management, fundraising and compliance",3500.0
7114,st. louis mayor mardi gras ball,3500.0
1848,communicationservice,3500.0
3356,fundraising and compliance,3500.0
70,2019 audit fee,3500.0
5504,post-production work,3500.0
7250,strategy/retainer,3500.0
5304,phoning/texting,3500.0
651,august fundraising services,3500.0
6752,september fundraising services,3500.0
1096,campaign creative - design services sandlot strate,3500.0
6598,"research, social media creatives, fundraising",3500.0
3557,gop primary survey,3500.0
2474,donation refund,3500.0
5041,oversight and management of fundraiser,3500.0
1316,campaign photos,3498.1699999999996
4329,mailer postcards for candidate,3496.53
6615,return % of campaign donation,3493.54
5225,payroll tax - mo 941,3486.0
6908,signs and printed materials,3484.26
3544,golf tourney,3476.0
1440,campaign t shirts,3468.1099999999997
3228,"food, gas, supplies, advertising",3456.52
6327,reimburse printing (mulligan printing),3455.88
6469,reimbursement-kfkf radio ad,3450.0
7815,video production ,3445.0
1251,"campaign marketing supplies, signs & stickers  ",3444.7700000000004
7676,trump merchandise,3434.4600000000005
3408,fundraising software and compliance,3423.78
6968,skeet shoot,3421.75
3127,food and beverage,3412.78
3503,"golf event - greens fees, carts, food & drinks",3408.4
5671,printed campaign material,3404.54
2817,event space entertainment and food,3403.4800000000005
156,4x8 signs,3402.0
5629,print & mail expense,3401.82
1605,catering ,3401.56
5613,preparation of forms 990 ,3400.0
3777,hrcc donation,3400.0
3460,general printing,3399.18
3066,flags,3396.1300000000006
6791,shirt order,3394.58
1195,campaign literatue,3382.62
6946,signs-mailings,3378.98
2603,election day expenses,3378.6
1002,campaign & field management,3375.0
2119,database and travel expense reimbursement ,3362.76
